,0,1,2,3,4,5,6,7,8,9,10,11
84,0.5639515,0.6291161,0.7334489,0.7493934,0.76707107,0.5892548,0.59341425,0.5386482,0.5785095,0.6696707,0.5871751,0.3882149
85,0.6291161,0.7334489,0.7493934,0.76707107,0.5892548,0.59341425,0.5386482,0.5785095,0.6696707,0.5871751,0.3882149,0.6180243
86,0.7334489,0.7493934,0.76707107,0.5892548,0.59341425,0.5386482,0.5785095,0.6696707,0.5871751,0.3882149,0.6180243,0.44436738
87,0.7493934,0.76707107,0.5892548,0.59341425,0.5386482,0.5785095,0.6696707,0.5871751,0.3882149,0.6180243,0.44436738,0.82772964
88,0.76707107,0.5892548,0.59341425,0.5386482,0.5785095,0.6696707,0.5871751,0.3882149,0.6180243,0.44436738,0.82772964,0.772617
89,0.5892548,0.59341425,0.5386482,0.5785095,0.6696707,0.5871751,0.3882149,0.6180243,0.44436738,0.82772964,0.772617,0.79445416
90,0.59341425,0.5386482,0.5785095,0.6696707,0.5871751,0.3882149,0.6180243,0.44436738,0.82772964,0.772617,0.79445416,0.6922011
91,0.5386482,0.5785095,0.6696707,0.5871751,0.3882149,0.6180243,0.44436738,0.82772964,0.772617,0.79445416,0.6922011,0.5840555
92,0.5785095,0.6696707,0.5871751,0.3882149,0.6180243,0.44436738,0.82772964,0.772617,0.79445416,0.6922011,0.5840555,0.53171575
93,0.6696707,0.5871751,0.3882149,0.6180243,0.44436738,0.82772964,0.772617,0.79445416,0.6922011,0.5840555,0.53171575,0.5556326
94,0.5871751,0.3882149,0.6180243,0.44436738,0.82772964,0.772617,0.79445416,0.6922011,0.5840555,0.53171575,0.5556326,0.63882154
95,0.3882149,0.6180243,0.44436738,0.82772964,0.772617,0.79445416,0.6922011,0.5840555,0.53171575,0.5556326,0.63882154,0.55701905
96,0.6180243,0.44436738,0.82772964,0.772617,0.79445416,0.6922011,0.5840555,0.53171575,0.5556326,0.63882154,0.55701905,0.58162916
97,0.44436738,0.82772964,0.772617,0.79445416,0.6922011,0.5840555,0.53171575,0.5556326,0.63882154,0.55701905,0.58162916,0.27279028
98,0.82772964,0.772617,0.79445416,0.6922011,0.5840555,0.53171575,0.5556326,0.63882154,0.55701905,0.58162916,0.27279028,0.4492201
99,0.772617,0.79445416,0.6922011,0.5840555,0.53171575,0.5556326,0.63882154,0.55701905,0.58162916,0.27279028,0.4492201,0.82980937
100,0.79445416,0.6922011,0.5840555,0.53171575,0.5556326,0.63882154,0.55701905,0.58162916,0.27279028,0.4492201,0.82980937,0.61906415
101,0.6922011,0.5840555,0.53171575,0.5556326,0.63882154,0.55701905,0.58162916,0.27279028,0.4492201,0.82980937,0.61906415,0.5386482
102,0.5840555,0.53171575,0.5556326,0.63882154,0.55701905,0.58162916,0.27279028,0.4492201,0.82980937,0.61906415,0.5386482,0.5743501
103,0.53171575,0.5556326,0.63882154,0.55701905,0.58162916,0.27279028,0.4492201,0.82980937,0.61906415,0.5386482,0.5743501,0.36395147
104,0.5556326,0.63882154,0.55701905,0.58162916,0.27279028,0.4492201,0.82980937,0.61906415,0.5386482,0.5743501,0.36395147,0.43916807
105,0.63882154,0.55701905,0.58162916,0.27279028,0.4492201,0.82980937,0.61906415,0.5386482,0.5743501,0.36395147,0.43916807,0.6755633
106,0.55701905,0.58162916,0.27279028,0.4492201,0.82980937,0.61906415,0.5386482,0.5743501,0.36395147,0.43916807,0.6755633,0.5164645
107,0.58162916,0.27279028,0.4492201,0.82980937,0.61906415,0.5386482,0.5743501,0.36395147,0.43916807,0.6755633,0.5164645,0.5154246
108,0.27279028,0.4492201,0.82980937,0.61906415,0.5386482,0.5743501,0.36395147,0.43916807,0.6755633,0.5164645,0.5154246,0.47487
109,0.4492201,0.82980937,0.61906415,0.5386482,0.5743501,0.36395147,0.43916807,0.6755633,0.5164645,0.5154246,0.47487,0.60727906
110,0.82980937,0.61906415,0.5386482,0.5743501,0.36395147,0.43916807,0.6755633,0.5164645,0.5154246,0.47487,0.60727906,0.49844024
111,0.61906415,0.5386482,0.5743501,0.36395147,0.43916807,0.6755633,0.5164645,0.5154246,0.47487,0.60727906,0.49844024,0.55181974
112,0.5386482,0.5743501,0.36395147,0.43916807,0.6755633,0.5164645,0.5154246,0.47487,0.60727906,0.49844024,0.55181974,0.7906413
113,0.5743501,0.36395147,0.43916807,0.6755633,0.5164645,0.5154246,0.47487,0.60727906,0.49844024,0.55181974,0.7906413,0.8831889
114,0.36395147,0.43916807,0.6755633,0.5164645,0.5154246,0.47487,0.60727906,0.49844024,0.55181974,0.7906413,0.8831889,0.47625646
115,0.43916807,0.6755633,0.5164645,0.5154246,0.47487,0.60727906,0.49844024,0.55181974,0.7906413,0.8831889,0.47625646,0.39341423
116,0.6755633,0.5164645,0.5154246,0.47487,0.60727906,0.49844024,0.55181974,0.7906413,0.8831889,0.47625646,0.39341423,0.66169846
117,0.5164645,0.5154246,0.47487,0.60727906,0.49844024,0.55181974,0.7906413,0.8831889,0.47625646,0.39341423,0.66169846,0.57365686
118,0.5154246,0.47487,0.60727906,0.49844024,0.55181974,0.7906413,0.8831889,0.47625646,0.39341423,0.66169846,0.57365686,0.49566725
119,0.47487,0.60727906,0.49844024,0.55181974,0.7906413,0.8831889,0.47625646,0.39341423,0.66169846,0.57365686,0.49566725,0.45545927
120,0.60727906,0.49844024,0.55181974,0.7906413,0.8831889,0.47625646,0.39341423,0.66169846,0.57365686,0.49566725,0.45545927,0.43084922
