,humidness (t-3),temperature(t-3),precipitation(t-3),sunshine_duration(t-3),humidness (t-2),temperature(t-2),precipitation(t-2),sunshine_duration(t-2),humidness (t-1),temperature(t-1),precipitation(t-1),sunshine_duration(t-1),sunshine_duration(t),sunshine_duration(t+1)
39,38.0,-1.6,0.0,217.0,33.0,2.1,0.0,225.0,57.0,4.7,5.2,160.0,0.71057194,0.80415946
40,33.0,2.1,0.0,225.0,57.0,4.7,5.2,160.0,56.0,14.4,33.6,237.0,0.80415946,0.78336227
41,57.0,4.7,5.2,160.0,56.0,14.4,33.6,237.0,58.0,19.3,32.4,264.0,0.78336227,0.6967071
42,56.0,14.4,33.6,237.0,58.0,19.3,32.4,264.0,58.0,25.3,23.8,258.0,0.6967071,0.6169844
43,58.0,19.3,32.4,264.0,58.0,25.3,23.8,258.0,62.0,28.0,62.7,233.0,0.6169844,0.41247836
44,58.0,25.3,23.8,258.0,62.0,28.0,62.7,233.0,65.0,25.5,63.5,210.0,0.41247836,0.49913344
45,62.0,28.0,62.7,233.0,65.0,25.5,63.5,210.0,61.0,20.9,44.5,151.0,0.49913344,0.35355285
46,65.0,25.5,63.5,210.0,61.0,20.9,44.5,151.0,49.0,12.9,3.9,176.0,0.35355285,0.36741766
47,61.0,20.9,44.5,151.0,49.0,12.9,3.9,176.0,57.0,5.9,9.5,134.0,0.36741766,0.48145577
48,49.0,12.9,3.9,176.0,57.0,5.9,9.5,134.0,42.0,-0.7,0.7,138.0,0.48145577,0.6890815
49,57.0,5.9,9.5,134.0,42.0,-0.7,0.7,138.0,55.0,-6.4,11.9,170.9,0.6890815,0.84402084
50,42.0,-0.7,0.7,138.0,55.0,-6.4,11.9,170.9,40.0,-1.5,3.45,230.8,0.84402084,0.7514732
51,55.0,-6.4,11.9,170.9,40.0,-1.5,3.45,230.8,36.0,8.0,8.8,275.5,0.7514732,0.9455806
52,40.0,-1.5,3.45,230.8,36.0,8.0,8.8,275.5,40.0,14.6,18.3,248.8,0.9455806,0.842981
53,36.0,8.0,8.8,275.5,40.0,14.6,18.3,248.8,57.0,20.4,37.7,304.8,0.842981,0.6942808
54,40.0,14.6,18.3,248.8,57.0,20.4,37.7,304.8,53.0,26.7,19.0,275.2,0.6942808,0.53691506
55,57.0,20.4,37.7,304.8,53.0,26.7,19.0,275.2,61.0,29.6,61.5,232.3,0.53691506,0.71854424
56,53.0,26.7,19.0,275.2,61.0,29.6,61.5,232.3,76.0,25.7,150.5,186.9,0.71854424,0.4783362
57,61.0,29.6,61.5,232.3,76.0,25.7,150.5,186.9,64.0,21.8,18.4,239.3,0.4783362,0.44194105
58,76.0,25.7,150.5,186.9,64.0,21.8,18.4,239.3,62.0,12.6,35.2,170.0,0.44194105,0.48942807
59,64.0,21.8,18.4,239.3,62.0,12.6,35.2,170.0,59.0,3.0,9.7,159.5,0.48942807,0.40207973
60,62.0,12.6,35.2,170.0,59.0,3.0,9.7,159.5,48.0,-0.6,0.1,173.2,0.40207973,0.5043328
61,59.0,3.0,9.7,159.5,48.0,-0.6,0.1,173.2,57.0,-5.4,12.2,148.0,0.5043328,0.86759096
62,48.0,-0.6,0.1,173.2,57.0,-5.4,12.2,148.0,62.0,-1.5,3.9,177.5,0.86759096,0.7549394
63,57.0,-5.4,12.2,148.0,62.0,-1.5,3.9,177.5,31.0,7.3,8.175,282.3,0.7549394,1.0
64,62.0,-1.5,3.9,177.5,31.0,7.3,8.175,282.3,46.0,14.4,14.4,249.8,1.0,0.63396883
65,31.0,7.3,8.175,282.3,46.0,14.4,14.4,249.8,44.0,23.1,5.0,320.5,0.63396883,0.68457544
66,46.0,14.4,14.4,249.8,44.0,23.1,5.0,320.5,63.0,25.7,45.8,214.9,0.68457544,0.7292894
67,44.0,23.1,5.0,320.5,63.0,25.7,45.8,214.9,68.0,27.3,128.6,229.5,0.7292894,0.6370884
68,63.0,25.7,45.8,214.9,68.0,27.3,128.6,229.5,71.0,25.8,49.7,242.4,0.6370884,0.42772964
69,68.0,27.3,128.6,229.5,71.0,25.8,49.7,242.4,62.0,21.2,9.2,215.8,0.42772964,0.62218374
70,71.0,25.8,49.7,242.4,62.0,21.2,9.2,215.8,73.0,13.8,45.7,155.4,0.62218374,0.45788565
71,62.0,21.2,9.2,215.8,73.0,13.8,45.7,155.4,56.0,5.3,21.4,211.5,0.45788565,0.6065858
